Feature,Gain,Cover,Frequency
inf_a,0.44179116580048966,0.30508459813165517,0.2539325842696629
rolling_4,0.19389150857149445,0.12422968882694946,0.10112359550561797
inf_b,0.18332194220684833,0.30372144676959256,0.2393258426966292
lag_1,0.1612234886221089,0.09930971408662326,0.12247191011235956
lag_2,0.008941255658488346,0.06656795070008492,0.07865168539325842
ab_ratio,0.007524342242557654,0.06821853972954729,0.09550561797752809
iso_week,0.0023849340795645533,0.0034100559632428197,0.05955056179775281
lag_4,9.116196527624423e-4,0.02901378394268667,0.04157303370786517
month,9.74316568567712e-6,4.4422184961783855e-4,0.007865168539325843
